tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
candidate,2458654.10332,0.5182425,0.8565249,831.8920424,1.3485121,255.1405815,1019.3295979,10.1165,20.373,3325.0,4.88693,0.390989
candidate,2458656.380357,3.1644075,2.0576293,5603.4635466,14.8814743,2206.1550476,1747.9490013,13.1284,1179.27,6519.0,4.22068,1.7234
candidate,2458328.08383,3.0440541,2.5984575,22236.0165376,12.1086799,315.9871326,1075.3184542,13.163,421.855,5523.0,4.52192,0.809868
candidate,2458654.060577,3.9652485,1.0112593,3680.7544436,1.2305102,5.2829448,386.6684768,12.7067,25.559,3296.0,4.96636,0.199988
candidate,2458654.026119,2.98278,3.109528,6136.231662,11.467011,363.901,1183.01373235,11.5247,354.05,6027.0,4.29978,1.23975
candidate,2458626.085696,16.3469053,3.5865698,2212.4257252,3.5059571,8.9995944,441.7489067,11.8835,100.248,4310.0,4.57345,0.649613
candidate,2458627.915974,12.9802953,2.5034417,2407.2608671,2.4241912,4.7341229,376.2093904,12.0936,68.9109,3614.0,4.81257,0.491323
candidate,2458653.973305,1.3484961,2.4074261,18463.7636682,15.8824638,2706.9606225,1839.6713042,12.2851,494.182,6346.0,4.38484,1.14759
candidate,2460041.175097,3.2541181,4.341,13620.0,14.9476,1436.45,1183.01373235,11.6577,444.066,6102.0,4.28649,1.28
candidate,2458655.291499,3.7178828,5.5277827,4864.8405125,14.6986197,1925.1426172,1689.4116185,12.2303,736.397,5818.0,4.33787,2.0840001
non-candidate,2458630.77194,9.30992,3.464,2220.0,14.2968,215.208,1067.0,9.4142,416.25,6907.0,3.63,3.09
non-candidate,2458626.38955,1.15395,2.236,1550.0,5.48364,3534.3,2148.0,10.4613,240.901,6093.0,4.2,1.4
non-candidate,2458643.10264,4.73703,3.902,2410.0,25.7144,53821.0,4243.0,10.3918,778.127,11600.0,4.13,2.48
candidate,2458326.127479,2.76676,2.6872178,14947.4387827,12.2867389,505.8840075,1209.5741229,13.2366,513.011,5346.0,4.48823,0.984866
non-candidate,2458628.96316,2.19296,4.586,4933.74,22.7769,31883.5,3722.0,10.0196,566.502,7009.8,3.6,2.95
candidate,2459359.55521,1.725841,3.674,2710.0,15.0024,50469.2,4175.0,9.3529,321.671,7348.0,3.9,2.39
non-candidate,2458601.38096,1.1923,3.119,3730.0,30.666,40771.2,3958.0,9.0039,209.919,6534.0,3.95,2.04
non-candidate,2458601.33791,11.47606,6.083,3050.0,10.544,363.901,1183.01373235,10.0067,1710.22,5800.55,4.33,1.23434
candidate,2459360.160536,0.5971314,0.468,910.0,9.08382,1596.43,1760.0,9.9806,426.003,7710.0,3.98,2.28
candidate,2459307.385949,1.4821386,2.1867078,2102.6568299,13.7339261,18197.1354531,2962.2418039,10.4291,582.521,7066.0,3.78,2.6647301
non-candidate,2459307.93577,0.9209526,1.8602735,360.8801529,5.7349089,32740.3629399,3430.7622437,10.11,490.288,6553.0,3.65,2.8908899
candidate,2459376.410518,9.188506,2.492,460.0,2.16591,63.4589,786.0,8.7215,79.5561,5876.0,4.48,0.98
candidate,2459344.461827,13.9028391,2.1264429,647.2701039,2.6136848,77.4841883,756.6987586,8.7215,79.5561,5876.0,4.48,0.983215
candidate,2458629.909082,10.1826983,2.8275109,667.4752458,3.0538057,198.394783,957.1991659,8.7581,105.096,6153.0,4.34814,1.14582
candidate,2460140.220927,6.441006,1.812,914.0,2.56374,87.8902,853.0,7.3661,23.606,4867.0,4.438,0.8
candidate,2458328.039934,3.1743504,2.751086,15457.3247576,14.9172256,718.9096994,1320.6518234,11.6714,342.14,5943.0,4.42524,1.15706
non-candidate,2459044.494531,20.0731588,3.8449215,1152.9645461,4.0506906,69.3993155,736.1368293,10.5135,205.43,6033.0,4.37,1.14849
non-candidate,2459058.79277,2.66903,1.548,3110.0,9.36823,429.86,1268.0,10.5891,262.794,5803.5,4.07,1.56
non-candidate,2458627.80423,6.63371,2.122,1555.34,2.75375,22.9987,610.0,10.5652,58.0624,4138.1,4.54,0.63
candidate,2459037.655526,2.94308,4.073,4490.0,45.3525,2533.34,1976.0,10.5598,320.212,4437.0,4.33,3.13
non-candidate,2459367.034327,341.2811281,6.303026,972.5797241,4.7531892,121.1597998,846.173434,7.5622,70.0154,6058.6,4.2,1.39203
candidate,2460086.979446,10.8680523,2.375,1553.0,2.90726,20.7383,594.0,10.2809,79.5225,4664.0,4.55,0.76
candidate,2458630.71937,11.1149,2.26,900.0,14.7645,21.9713,603.0,10.0717,523.425,5042.0,4.33,4.94
candidate,2459336.073646,4.0782392,4.8475616,6046.6959687,13.898174,1619.0081232,1617.8267296,10.0068,281.314,6501.0,4.08,1.74836
non-candidate,2458655.54872,7.14386,1.467,11146.4,22.1531,363.901,1183.01373235,9.941,417.08,7860.0,4.15,1.91
non-candidate,2459083.35168,7.04083,2.979,1580.0,8.46404,852.336,1505.0,9.7906,102.238,5317.0,4.49,0.91
candidate,2458326.105486,2.1061569,1.4688934,12142.2238514,13.086872,691.8428073,1308.0417533,13.183,508.842,5380.0,4.4337,0.940697
non-candidate,2460146.990136,2.4545635,2.321,4248.0,11.1276,2162.73,1899.0,9.6789,243.838,6610.0,4.15,1.64
non-candidate,2460131.889805,11.4756978,0.808,8341.0,14.1098,11.4585,512.0,9.3871,312.461,7262.0,4.0,2.13
non-candidate,2458626.54168,2.78186,2.456,490.0,4.92567,1323.21,1680.0,9.5162,292.085,6819.0,3.92,2.21
non-candidate,2460140.221205,6.4410082,1.798,7076.0,4.59203,8.2114,471.0,9.66865,23.8853,3469.0,4.71,0.53
candidate,2460148.616195,2.4887726,2.632,4852.0,10.544,773.3029498,1344.9531805,8.1129,174.475,8048.0,4.438,1.23434
candidate,2458658.32747,4.45199,2.109,8483.38,15.8858,1013.74,1571.0,10.526,359.215,6708.3,4.2,1.57
candidate,2458325.661906,5.0100708,2.0644756,409.4812214,2.3107394,210.6631712,971.6657708,9.5268,94.4178,5551.0,4.46214,0.906282
candidate,2459386.963814,2.2281625,2.015,630.0,2.56778,702.927,1434.0,10.4055,167.598,5731.0,4.43,1.02
non-candidate,2458660.16316,4.13812,3.911,5560.0,10.544,613.964,1386.0,10.5084,365.008,4898.4,4.33,1.23434
candidate,2458666.52199,10.95663,3.588,3830.0,23.9726,619.065,1389.0,10.5024,421.518,6456.0,3.92,2.07
candidate,2460069.773646,2.4997996,2.865171,14621.2059647,13.8516093,907.8624196,1399.9894384,11.6035,302.448,5650.0,4.28867,1.13732
non-candidate,2458656.45082,1.66226,3.321,6030.0,13.3343,7149.89,2561.0,10.4063,386.323,7301.0,4.23,1.64
non-candidate,2458658.61052,4.07611,2.062,1454.18,10.544,363.901,1183.01373235,11.0605,338.644,5800.55,4.33,1.23434
non-candidate,2460115.852574,3.6245513,3.042,1299.0,4.3503,919.571,1183.01373235,10.2934,249.826,6317.0,4.33,1.38
candidate,2458658.04087,1.20928,1.886,11883.8,15.1764,363.901,1183.01373235,10.2398,161.932,5159.8,4.23,1.27
candidate,2460149.391758,3.5187707,2.408,5634.0,14.0061,2000.01,1863.0,7.2235,75.7145,6690.0,4.24,1.49
candidate,2459036.495091,0.7724825,1.3744974,211.3168519,4.1624907,60276.5000547,3996.2877922,8.0465,237.593,8271.0,3.95,2.5027299
non-candidate,2460122.432108,1.6268695,3.231,1502.0,2.36498,1946.23,1850.0,10.3579,97.8115,5034.0,4.64,0.73
non-candidate,2458657.63073,2.32439,4.453,2704.18,10.544,68217.5,4502.0,7.3163,177.741,8268.5,3.93,1.23434
non-candidate,2458663.15245,13.5499,1.795,1180.0,6.24633,31.6652,660.0,9.7298,222.529,6209.0,4.09,1.63
non-candidate,2458659.06927,4.43651,3.365,1520.0,19.9664,8233.41,2653.0,8.7823,247.414,7101.9,3.91,2.32
candidate,2458327.053085,3.372877,2.63426,17163.60419,14.201803,615.165921,1270.187448,12.1893,448.637,6050.0,4.45061,1.02
candidate,2460144.137122,8.34998,1.836,16680.0,11.1424,19.9348,588.0,10.1429,58.2609,4236.0,4.52,0.74
candidate,2460126.924264,4.0686405,1.8373729,2650.0950013,3.7548333,84.108766,772.378302,10.1429,58.2609,4236.0,4.52,0.741921
candidate,2458711.595435,0.5860366,0.8098934,410.5241553,4.906408,26813.1057089,3263.6721812,9.2872,222.74,5579.0,3.67,2.39803
non-candidate,2460351.800169,1.5502952,2.938,411.0,3.34528,10796.6,2839.0,9.2293,286.668,7851.0,4.17,1.86
non-candidate,2458684.2349,1.80709,3.297,450.0,4.86242,7233.01,2569.0,9.11458,233.369,6244.0,3.84,2.2
non-candidate,2460333.437983,18.6922101,7.765,11126.0,18.1458,282.175,1141.0,9.03609,170.732,6277.0,4.09,1.65
candidate,2460658.97426,8.0277326,4.284,5705.0,9.06883,248.619,1106.0,9.02855,114.048,5962.7,4.38,1.15
candidate,2459612.447691,12.5187279,5.38,2320.0,5.58857,626.362,1393.0,8.9361,84.5362,5729.0,4.47,0.98
candidate,2460366.026514,6.2586065,3.201,813.0,2.51593,232.392,1087.0,8.9361,84.5362,5729.0,4.47,0.98
candidate,2459594.183463,26.3208756,4.414,800.0,2.71349,26.4328,631.0,8.9361,84.5362,5729.0,4.47,0.98
candidate,2458697.755807,18.795547,4.3425576,470.6731965,2.1597669,48.477077,672.9826313,8.9361,84.5362,5729.0,4.47,0.977727
candidate,2459770.240602,1.3206356,1.6000996,1052.4255997,34.7561624,3652.2582486,1982.7142102,9.00558,419.435,4919.6,4.33,6.3070302
non-candidate,2458684.20504,0.64971,2.076,620.0,6.23181,83182.0,4731.0,8.90601,395.12,9994.0,4.02,2.59
candidate,2460549.445856,4.4780798,4.513,1054.0,11.3678,31621.7,3715.0,8.86193,238.726,7947.0,4.2,1.83
candidate,2458327.519958,3.2887898,3.4367717,7005.7247902,10.5135877,759.3373533,1338.8392647,10.6103,216.526,5800.0,4.28004,1.24175
non-candidate,2460637.861679,13.7431084,2.285,5688.0,12.05,84.3234,844.0,8.88797,121.182,5941.5,4.33,1.34
non-candidate,2460289.874408,16.9487087,4.2887767,156467.5479643,45.2204505,78.263287,758.5937679,8.8523,97.3391,5894.7,4.37,1.1179
non-candidate,2460335.937572,3.3686634,3.012,3288.0,42.2321,9856.24,2775.0,8.64028,299.294,7518.0,3.82,2.68
non-candidate,2460352.734057,11.2071839,4.366,3276.0,17.4989,813.063,1487.0,8.63287,191.984,6152.0,3.84,2.24
candidate,2460554.347022,4.8878037,2.184,4279.0,5.29152,71.6805,810.0,8.5077,37.7647,4757.3,4.56,0.76
non-candidate,2458685.81643,2.97164,1.534,7350.0,10.544,3089.18,2076.0,8.5011,438.395,8562.5,4.33,1.23434
non-candidate,2459420.415267,0.660179,1.6349369,473.0939303,6.1672487,252487.7638842,5717.1532477,8.40386,411.307,8598.7,4.1,2.62432
non-candidate,2460331.315598,10.9278415,2.468,2743.0,49.1695,270.142,1129.0,8.36544,218.258,6259.0,3.59,2.92
candidate,2460361.366521,5.5514888,4.335,9493.0,15.8043,802.858,1482.0,7.9179,96.5173,6403.9,4.16,1.55
candidate,2459770.330784,2.3202418,2.3817612,5082.9417064,10.544,22262.0513573,3115.3801229,7.9172,632.553,8737.5,4.33,1.23434
candidate,2458329.903155,4.7423709,2.4988145,12650.8110411,10.5505922,209.7699043,970.6340996,13.0417,453.808,5377.0,4.42476,0.877585
candidate,2458683.457596,1.4810903,4.1588291,6788.5145388,20.3402421,33326.7304874,3446.0210572,7.58204,204.455,9435.0,4.11,2.28773
candidate,2460337.986375,3.4741012,3.317,15748.0,21.2912,3453.07,2084.3330866,7.55216,136.426,8894.8,4.38,1.62
non-candidate,2459392.715052,6.5011911,5.5463587,4501.3454064,10.544,214.9638584,976.5873888,8.0348,105.334,5485.0,4.33,1.23434
candidate,2460472.256051,6.0360758,1.255,987.0,9.86763,464.097,1293.0,8.40534,147.134,6528.3,4.21,1.69
candidate,2460339.328709,21.745537,4.196,659.0,2.10208,28.2504,642.0,9.3188,93.8819,5704.0,4.51,0.93
non-candidate,2458683.92594,1.32003,3.175,552.468,10.544,363.901,1183.01373235,9.711,365.008,5800.55,4.33,1.23434
non-candidate,2459443.850453,1.6865822,2.429,1770.0,10.544,363.901,1183.01373235,9.7032,6079.49,5800.55,4.33,1.23434
non-candidate,2459603.765773,13.0727479,3.044,4080.0,35.7944,221.343,1074.0,9.6043,432.113,5709.8,3.37,3.59
non-candidate,2459446.175877,2.9258727,4.075,6720.0,24.4055,3028.51,2066.0,9.5967,365.008,4884.5,4.33,1.3
non-candidate,2458683.94707,0.73774,0.636,524.852,5.28215,363.901,1183.01373235,9.5937,292.83,6449.5,3.94,2.1
candidate,2458326.688916,2.7985802,2.3801043,16708.7151957,11.9514993,332.556249,1089.1458169,11.0443,149.942,4920.0,4.49371,0.906655
non-candidate,2459446.146751,2.3664127,2.591,300.0,10.544,363.901,1183.01373235,9.577,2320.13,5800.55,4.33,1.23434
candidate,2460556.484069,1.7635881,3.092,6650.0,10.544,7685.79,2608.0,10.2306,519.096,7986.1,4.33,1.23434
candidate,2460544.815606,7.3166682,3.255,3210.0,10.544,1221.82,1647.0,9.65306,348.481,8730.0,4.33,1.23434
candidate,2459441.801256,3.0771612,2.6914319,4703.2844346,10.544,2636.8654415,1827.6445751,9.47751,148.342,9311.3,4.33,1.23434
non-candidate,2459822.312844,3.2077145,2.708,9640.0,10.544,363.901,1183.01373235,9.329701,827.868,5800.55,4.33,1.23434
candidate,2460352.823449,2.2552845,2.05,20820.0,14.688,549.715,1348.0,9.76703,126.261,5787.0,4.5,0.96
non-candidate,2460556.103196,1.8824539,2.46,1391.0,8.29008,15173.2,3091.0,9.7604,153.743,5900.4,4.39,1.13
non-candidate,2458689.11633,15.196,1.792,1970.0,4.96345,363.901,1183.01373235,10.3874,209.618,5807.0,4.33,1.14
non-candidate,2460363.632024,2.1358631,1.559,10325.0,23.6019,1540.95,1745.0,10.381,274.162,5969.0,4.17,1.5
candidate,2460323.760513,6.7075429,2.125,11920.0,17.4647,225.822,1079.0,10.6405,259.0,6134.3,4.33,1.24
candidate,2459063.655791,3.5862962,3.3710943,5729.3246858,16.4747611,1787.5955937,1658.3915202,11.7806,603.955,5704.8,3.84,2.00441
non-candidate,2460556.995021,1.8296155,2.166,1406.0,29.3616,32867.0,3751.0,10.349,880.107,7875.0,3.61,3.5
non-candidate,2460541.381489,11.1876137,3.183,4924.0,31.8624,838.609,1499.0,10.3075,482.763,7266.0,4.06,2.05
non-candidate,2460634.945689,7.8513949,6.835,22029.0,10.544,363.901,1183.01373235,10.3018,875.061,5800.55,4.33,1.23434
candidate,2460341.784305,7.0643978,2.424,8268.0,9.39131,104.311,890.0,10.2938,132.353,5429.6,4.44,0.96
candidate,2460355.403307,8.9534775,2.696,1136.0,2.35888,45.5604,723.0,10.2549,94.6375,5029.5,4.61,0.76
non-candidate,2459437.549479,7.5022708,2.605,1760.0,5.55812,129.866,940.0,10.2026,216.517,6229.0,4.31,1.27
candidate,2458695.361762,14.0077666,5.8727493,5924.8349672,12.4023108,264.4796635,1028.5320293,10.1772,295.561,6557.7,4.18,1.57435
non-candidate,2460556.672243,1.692892,2.886,1418.0,11.2371,187927.0,5800.0,10.1617,602.899,9121.5,4.21,2.1
non-candidate,2460646.783967,2.6652007,3.49,819.0,2.35964,2905.35,2045.0,10.1358,36.7224,4043.4,4.69,0.56
candidate,2460365.036662,1.2615323,1.039,2841.0,8.67407,1437.18,1715.0,10.1313,86.444,4927.9,4.57,0.78
candidate,2460175.749118,6.0344667,1.89,1800.0,4.44029,64.2648,788.0,9.179,94.1719,5586.0,4.36763,1.05
candidate,2460473.411486,9.6867516,2.512,1669.0,3.00336,41.6645,707.0,10.112,72.0238,4738.1,4.59,0.73
